"             ELEM1","             ELEM2","                 X","                 Y","                 Z","     FLOW_HYDROG_G","      FLOW_WATER_L"
"                  ","                  ","               (M)","               (M)","               (M)","            (KG/S)","            (KG/S)"
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30081000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30087000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30094000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22096474868E-014, -0.36356923909E-013
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30100000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22454875336E-009, -0.36937547390E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30107000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22637432615E-009, -0.37209871275E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30113000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22517026327E-009, -0.36988102914E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30120000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22700328756E-009, -0.37261154124E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30126000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22580237861E-009, -0.37040112823E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30133000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22764067168E-009, -0.37313527791E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30139000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22642517990E-009, -0.37090304994E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30146000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22827318546E-009, -0.37364810860E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30152000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22705417456E-009, -0.37141224412E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30159000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22890970029E-009, -0.37416457608E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30165000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22768493725E-009, -0.37192143940E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30172000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22954800564E-009, -0.37468104467E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30178000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22831747542E-009, -0.37243063577E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30184000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.22860864453E-009, -0.37266341249E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30191000E+08"
"             A11 0","             A11 1",  0.73943661972E-001,  0.14788732394E-001, -0.14788732394E-001, -0.23048518015E-009, -0.37543756338E-008
"             A11 0","             A11 1",  0.42605633803E+000,  0.35211267606E-001, -0.35211267606E-001, -0.00000000000E+000, -0.00000000000E+000
"TIME [sec]  0.30197000E+08"
