UTC,downhole pressure [kPa],CO2 partial pressure [kPa],pH
05/10/2023 16:40:22.360,172.37,88.7260993197498,6.0694
05/10/2023 17:09:47.200,177.29,88.7585344622058,6.0605
05/10/2023 17:39:11.920,173.34,88.746582226568,6.0585
05/10/2023 18:08:37.220,169.68,88.797058810953,6.0657
05/10/2023 18:38:02.390,169.77,88.8359687929536,6.0726
05/10/2023 19:07:27.800,164.95,88.8434551133719,6.0702
05/10/2023 19:36:54.440,175.07,88.8670130057218,6.047
05/10/2023 20:06:21.000,170.54,88.928888976642,6.0576
05/10/2023 20:35:47.320,173.53,88.9588858243583,6.0579
05/10/2023 21:05:14.740,170.74,88.900091748988,6.0662
05/10/2023 21:34:41.630,164.66,88.9110097768615,6.0556
05/10/2023 22:27:04.870,160.81,88.8806727662542,6.0574
05/10/2023 23:04:33.020,166.59,88.6825558465004,6.0728
05/10/2023 23:42:01.740,156.76,88.8522731318279,6.085
05/11/2023 00:19:30.090,159.27,88.771488483765,6.0922
05/11/2023 00:56:59.210,156.57,88.7218876578789,6.107
05/11/2023 01:34:28.190,151.46,88.6696755525042,6.1014
05/11/2023 02:11:57.350,152.43,88.7804743732975,6.1187
05/11/2023 02:49:27.080,146.93,88.759001584672,6.1261
05/11/2023 03:26:57.210,148.19,88.7223299620868,6.1317
05/11/2023 04:04:28.770,143.46,88.7261283339028,6.1251
05/11/2023 04:41:59.170,146.84,88.7377613974107,6.1502
05/11/2023 05:19:29.680,144.04,88.7646487008919,6.1465
05/11/2023 05:57:00.550,139.61,88.8581716019783,6.1511
05/11/2023 06:34:31.920,136.43,88.6847492073216,6.1482
05/11/2023 07:12:04.060,136.52,88.7401524509589,6.1442
05/11/2023 07:49:35.610,139.42,88.495836126273,6.15
05/11/2023 08:27:06.170,138.36,88.4696224719666,6.1839
05/11/2023 09:04:37.490,134.5,88.6911943504212,6.1874
05/11/2023 09:42:08.370,135.85,88.5041327076355,6.1864
05/11/2023 10:19:40.140,132.77,88.2164618959099,6.1909
05/11/2023 10:57:12.190,131.42,88.203844799232,6.2018
05/11/2023 11:34:44.010,128.04,88.0592054272145,6.171
05/11/2023 12:12:15.990,128.81,87.8940117560465,6.2027
05/11/2023 12:49:50.450,128.62,87.9283074450694,6.2038
05/11/2023 13:27:24.820,121.88,87.8805466326748,6.2028
05/11/2023 14:04:58.770,124.86,87.6538146794172,6.2156
05/11/2023 14:42:32.910,125.35,87.6541359556985,6.2198
05/11/2023 15:20:06.470,122.55,87.6282784908072,6.228
05/11/2023 15:57:40.380,121.59,87.5614203537208,6.2169
05/11/2023 16:35:15.540,123.13,87.4389501208003,6.2271
05/11/2023 17:12:49.730,120.91,87.4851561700155,6.2346
05/11/2023 17:50:25.180,117.54,87.4509394466863,6.2234
05/11/2023 18:27:59.860,121.49,87.3793782779246,6.2283
05/11/2023 19:05:34.780,117.64,87.3174274260347,6.2487
05/11/2023 19:43:10.570,124.77,87.2922330914286,6.2468
05/11/2023 20:20:46.760,117.15,86.7942444177164,6.2211
05/11/2023 20:58:22.900,119.37,86.942949727034,6.2483
05/11/2023 21:35:59.220,117.35,86.9666517491382,6.2362
05/11/2023 22:13:36.470,117.64,87.0156943035492,6.2591
05/11/2023 22:51:13.730,117.25,86.3148043165129,6.252
05/11/2023 23:28:51.130,113.59,85.6739325835753,6.2545
05/12/2023 00:06:28.120,115.23,85.9423718844615,6.2619
05/12/2023 00:44:06.080,112.05,85.8449781507485,6.2199
05/12/2023 01:21:44.670,108.67,85.8267244818727,6.2725
05/12/2023 01:59:22.880,112.91,85.721677108422,6.2757
05/12/2023 02:37:00.980,107.23,85.0747898827083,6.27
05/12/2023 03:14:39.670,108.58,84.6706531804955,6.2779
05/12/2023 03:52:19.270,109.16,83.4184491334963,6.269
05/12/2023 04:29:59.820,113.01,84.0435588940098,6.2852
05/12/2023 05:07:39.040,108.19,84.7172031336104,6.2804
05/12/2023 05:45:18.490,109.25,84.6982083042625,6.2904
05/12/2023 06:22:57.910,107.61,83.9080131515065,6.2917
05/12/2023 07:00:38.730,103.18,83.5273984248151,6.2877
05/12/2023 07:38:19.960,108.67,81.7916357588767,6.2825
05/12/2023 08:16:01.360,109.54,83.1214814071445,6.287
05/12/2023 08:53:42.070,113.4,83.2536977431761,6.2934
05/12/2023 09:31:22.860,102.41,80.8248210198818,6.2868
05/12/2023 10:09:04.130,108.38,81.6647075028409,6.2859
05/12/2023 10:46:47.100,104.05,81.2053238831329,6.3036
05/12/2023 11:24:29.630,106.75,82.2915614177519,6.3053
05/12/2023 12:02:12.460,110.02,81.1109480128747,6.3066
05/12/2023 12:39:55.600,105.88,81.5630158806873,6.2824
05/12/2023 13:17:38.530,101.64,81.3970746008774,6.3066
05/12/2023 13:55:22.160,102.6,80.1224048597035,6.3069
05/12/2023 14:33:06.400,109.16,80.2441301905555,6.3124
05/12/2023 15:10:50.380,107.13,81.2678835790672,6.2958
05/12/2023 15:48:34.720,108.77,80.4929671924322,6.296
05/12/2023 16:26:19.160,100.87,81.2518897183051,6.3033
05/12/2023 17:04:06.810,110.12,83.207628852055,6.2781
05/12/2023 17:41:52.480,106.94,81.4550518454284,6.289
05/12/2023 18:19:38.220,107.42,1.44067721450247,6.3152
05/12/2023 18:57:24.260,103.85,83.4923710853521,6.2991
05/12/2023 19:35:10.540,103.95,84.6877288625855,6.2978
05/12/2023 20:12:57.170,105.11,83.6947284020297,6.295
05/12/2023 20:50:44.120,103.37,84.7847539106625,6.3031
05/12/2023 21:28:31.360,105.3,79.6682477165066,6.2972
05/12/2023 22:06:18.620,101.64,84.1322068044556,6.3096
05/12/2023 22:44:06.170,103.08,85.4420938324899,6.2939
05/12/2023 23:21:53.800,110.31,85.9058990426788,6.3116
05/12/2023 23:59:41.670,102.41,84.9694476556642,6.3106
05/13/2023 00:37:30.640,110.22,83.0647996165076,6.307
05/13/2023 01:15:19.270,103.76,82.5510184264445,6.3116
05/13/2023 01:53:07.840,107.61,80.100156557268,6.2925
05/13/2023 02:30:56.670,104.63,78.5018872930588,6.2767
05/13/2023 03:08:45.000,100.77,76.4506666960657,6.3071
05/13/2023 03:46:34.620,106.46,84.4793431872219,6.3193
05/13/2023 04:24:25.020,98.55,82.3222826098982,6.3054
05/13/2023 05:02:15.280,100.96,84.3945454230145,6.3258
05/13/2023 05:40:05.300,102.99,76.6486523564944,6.3017
05/13/2023 06:17:55.450,99.33,75.9743117222449,6.3176
05/13/2023 06:55:46.480,103.37,81.5357126983429,6.3027
05/13/2023 07:33:38.350,102.12,77.6835779035988,6.3219
05/13/2023 08:11:32.080,102.6,80.6722551120889,6.31
05/13/2023 08:49:23.210,106.75,78.946425014216,6.3137
05/13/2023 09:27:15.990,102.02,78.7842572989514,6.323
