"              ELEM","                 X","                 Y","                 Z","              ROCK","            KABS_1","            KABS_2","            KABS_3","              PRES","             SAT_G","             SAT_L"
"                  ","               (M)","               (M)","               (M)","                  ","            (M**2)","            (M**2)","            (M**2)","              (PA)","               (-)","               (-)"
"TIME [sec]  0.17676752E+08"
"             A1183", -0.26254000000E-001,  0.26020000000E-016,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050332149E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1184",  0.18098500000E-001, -0.18976000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050375500E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1185",  0.18098500000E-001,  0.18976200000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050380132E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1186",  0.12888000000E-002, -0.26237000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050353046E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1187",  0.12888000000E-002,  0.26237700000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050359282E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1188", -0.19778000000E-001,  0.17416000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050336889E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1189", -0.19778000000E-001, -0.17416000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050332671E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1190", -0.13297000000E-001, -0.17806000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050320699E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1191", -0.13297000000E-001,  0.17806900000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050325623E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1192",  0.26271200000E-001,  0.22534000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050388638E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1193",  0.26267700000E-001, -0.22650000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050388034E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1194",  0.18505900000E-001, -0.12256000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050362731E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1195",  0.18505900000E-001,  0.12256500000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050366219E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1196", -0.21624000000E-001, -0.50040000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050314632E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1197", -0.21624000000E-001,  0.50048000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050315951E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1198",  0.11209900000E-001, -0.19150000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050348566E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1199",  0.11209900000E-001,  0.19150200000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050353751E+007,  0.00000000000E+000,  0.10000000000E+001
"             A12 0",  0.63594000000E-002,  0.21242000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050347392E+007,  0.00000000000E+000,  0.10000000000E+001
"             A12 1",  0.63594000000E-002, -0.21242000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050341703E+007,  0.00000000000E+000,  0.10000000000E+001
"             A12 2", -0.19909000000E-001,  0.98818000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050319255E+007,  0.00000000000E+000,  0.10000000000E+001
"             A12 3", -0.19909000000E-001, -0.98810000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050316659E+007,  0.00000000000E+000,  0.10000000000E+001
"             A12 4", -0.34400000000E-002,  0.26141200000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050352209E+007,  0.00000000000E+000,  0.10000000000E+001
"             A12 5", -0.34400000000E-002, -0.26141000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050346008E+007,  0.00000000000E+000,  0.10000000000E+001
"             A12 6",  0.20851900000E-001, -0.76900000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050370957E+007,  0.00000000000E+000,  0.10000000000E+001
