t_utc,p_kPa
2023-05-08T08:41:31.000000+0000,862.808
2023-05-08T08:42:31.000000+0000,862.973
2023-05-08T08:43:31.000000+0000,863.137
2023-05-08T08:44:31.000000+0000,863.300
2023-05-08T08:45:31.000000+0000,863.463
2023-05-08T08:46:31.000000+0000,863.625
2023-05-08T08:47:31.000000+0000,863.787
2023-05-08T08:48:31.000000+0000,863.948
2023-05-08T08:49:31.000000+0000,864.108
2023-05-08T08:50:31.000000+0000,864.268
2023-05-08T08:51:31.000000+0000,864.428
2023-05-08T08:52:31.000000+0000,864.587
2023-05-08T08:53:31.000000+0000,864.745
2023-05-08T08:54:31.000000+0000,864.903
2023-05-08T08:55:31.000000+0000,865.061
2023-05-08T08:56:31.000000+0000,865.217
2023-05-08T08:57:31.000000+0000,865.374
2023-05-08T08:58:31.000000+0000,865.530
2023-05-08T08:59:31.000000+0000,865.685
2023-05-08T09:00:31.000000+0000,865.840
2023-05-08T09:01:31.000000+0000,865.994
2023-05-08T09:02:31.000000+0000,866.148
2023-05-08T09:03:31.000000+0000,866.302
2023-05-08T09:04:31.000000+0000,866.455
2023-05-08T09:05:31.000000+0000,866.607
2023-05-08T09:06:31.000000+0000,866.759
2023-05-08T09:07:31.000000+0000,866.911
2023-05-08T09:08:31.000000+0000,867.062
2023-05-08T09:09:31.000000+0000,867.212
2023-05-08T09:10:31.000000+0000,867.362
2023-05-08T09:11:31.000000+0000,867.512
2023-05-08T09:12:31.000000+0000,867.661
2023-05-08T09:13:31.000000+0000,867.810
2023-05-08T09:14:31.000000+0000,867.958
2023-05-08T09:15:31.000000+0000,868.106
2023-05-08T09:16:31.000000+0000,868.254
2023-05-08T09:17:31.000000+0000,868.401
2023-05-08T09:18:31.000000+0000,868.547
2023-05-08T09:19:31.000000+0000,868.693
2023-05-08T09:20:31.000000+0000,868.839
2023-05-08T09:21:31.000000+0000,868.984
2023-05-08T09:22:31.000000+0000,869.129
2023-05-08T09:23:31.000000+0000,869.273
2023-05-08T09:24:31.000000+0000,869.417
2023-05-08T09:25:31.000000+0000,869.561
2023-05-08T09:26:31.000000+0000,869.704
2023-05-08T09:27:31.000000+0000,869.847
2023-05-08T09:28:31.000000+0000,869.989
2023-05-08T09:29:31.000000+0000,870.131
2023-05-08T09:30:31.000000+0000,870.272
2023-05-08T09:31:31.000000+0000,870.413
2023-05-08T09:32:31.000000+0000,870.554
2023-05-08T09:33:31.000000+0000,870.694
2023-05-08T09:34:31.000000+0000,870.834
2023-05-08T09:35:31.000000+0000,870.973
2023-05-08T09:36:31.000000+0000,871.112
2023-05-08T09:37:31.000000+0000,871.251
2023-05-08T09:38:31.000000+0000,871.389
2023-05-08T09:39:31.000000+0000,871.527
2023-05-08T09:40:31.000000+0000,871.664
2023-05-08T09:41:31.000000+0000,871.801
2023-05-08T09:42:31.000000+0000,871.938
2023-05-08T09:43:31.000000+0000,872.074
2023-05-08T09:44:31.000000+0000,872.210
2023-05-08T09:45:31.000000+0000,872.346
2023-05-08T09:46:31.000000+0000,872.481
2023-05-08T09:47:31.000000+0000,872.615
2023-05-08T09:48:31.000000+0000,872.750
2023-05-08T09:49:31.000000+0000,872.884
2023-05-08T09:50:31.000000+0000,873.017
2023-05-08T09:51:31.000000+0000,873.150
2023-05-08T09:52:31.000000+0000,873.283
2023-05-08T09:53:31.000000+0000,873.416
2023-05-08T09:54:31.000000+0000,873.548
2023-05-08T09:55:31.000000+0000,873.679
2023-05-08T09:56:31.000000+0000,873.811
2023-05-08T09:57:31.000000+0000,873.942
2023-05-08T09:58:31.000000+0000,874.072
2023-05-08T09:59:31.000000+0000,874.202
2023-05-08T10:00:31.000000+0000,874.467
2023-05-08T10:01:31.000000+0000,874.755
2023-05-08T10:02:31.000000+0000,874.931
2023-05-08T10:03:31.000000+0000,875.086
2023-05-08T10:04:31.000000+0000,875.233
2023-05-08T10:05:31.000000+0000,875.376
2023-05-08T10:06:31.000000+0000,875.515
2023-05-08T10:07:31.000000+0000,875.653
2023-05-08T10:08:31.000000+0000,875.789
2023-05-08T10:09:31.000000+0000,875.924
2023-05-08T10:10:31.000000+0000,876.057
2023-05-08T10:11:31.000000+0000,876.190
2023-05-08T10:12:31.000000+0000,876.321
2023-05-08T10:13:31.000000+0000,876.452
2023-05-08T10:14:31.000000+0000,876.582
2023-05-08T10:15:31.000000+0000,876.712
2023-05-08T10:16:31.000000+0000,876.840
2023-05-08T10:17:31.000000+0000,876.969
2023-05-08T10:18:31.000000+0000,877.096
2023-05-08T10:19:31.000000+0000,877.223
2023-05-08T10:20:31.000000+0000,877.350
2023-05-08T10:21:31.000000+0000,877.476
2023-05-08T10:22:31.000000+0000,877.601
2023-05-08T10:23:31.000000+0000,877.726
2023-05-08T10:24:31.000000+0000,877.851
2023-05-08T10:25:31.000000+0000,877.975
2023-05-08T10:26:31.000000+0000,878.099
2023-05-08T10:27:31.000000+0000,878.222
2023-05-08T10:28:31.000000+0000,878.345
2023-05-08T10:29:31.000000+0000,878.468
2023-05-08T10:30:31.000000+0000,878.590
2023-05-08T10:31:31.000000+0000,878.711
2023-05-08T10:32:31.000000+0000,878.833
2023-05-08T10:33:31.000000+0000,878.953
2023-05-08T10:34:31.000000+0000,879.074
2023-05-08T10:35:31.000000+0000,879.194
2023-05-08T10:36:31.000000+0000,879.314
2023-05-08T10:37:31.000000+0000,879.433
2023-05-08T10:38:31.000000+0000,879.552
2023-05-08T10:39:31.000000+0000,879.671
2023-05-08T10:40:31.000000+0000,879.789
2023-05-08T10:41:31.000000+0000,1300.352
2023-05-08T10:42:27.000000+0000,7317.120
