"              ELEM","                 X","                 Y","                 Z","             SAT_G","             SAT_L","             SAT_S","              PRES","           PCAP_GL","             DEN_G","             DEN_L","             DEN_S","             VIS_G","             VIS_L","             VIS_S"
"                  ","               (M)","               (M)","               (M)","               (-)","               (-)","               (-)","              (PA)","              (PA)","         (KG/M**3)","         (KG/M**3)","         (KG/M**3)","            (PA*S)","            (PA*S)","            (PA*S)"
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39956225718E+000,  0.60043774282E+000,  0.00000000000E+000,  0.35121970103E+007,  0.00000000000E+000,  0.84818928180E+002,  0.10092347842E+004,  0.21614101358E+004,  0.15578945603E-004,  0.11368774621E-002,  0.10000000000E+001
"TIME [sec]  0.24436300E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39963751750E+000,  0.60036248250E+000,  0.00000000000E+000,  0.35126493970E+007,  0.00000000000E+000,  0.84834165967E+002,  0.10092357536E+004,  0.21614101749E+004,  0.15579221575E-004,  0.11368771876E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39955852984E+000,  0.60044147016E+000,  0.00000000000E+000,  0.35126493970E+007,  0.00000000000E+000,  0.84834165967E+002,  0.10092357536E+004,  0.21614101749E+004,  0.15579221575E-004,  0.11368771876E-002,  0.10000000000E+001
"TIME [sec]  0.25309000E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39963660614E+000,  0.60036339386E+000,  0.00000000000E+000,  0.35131018187E+007,  0.00000000000E+000,  0.84849404937E+002,  0.10092367229E+004,  0.21614102140E+004,  0.15579497568E-004,  0.11368769131E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39955480309E+000,  0.60044519691E+000,  0.00000000000E+000,  0.35131018187E+007,  0.00000000000E+000,  0.84849404937E+002,  0.10092367229E+004,  0.21614102140E+004,  0.15579497568E-004,  0.11368769131E-002,  0.10000000000E+001
"TIME [sec]  0.26181800E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39963569480E+000,  0.60036430520E+000,  0.00000000000E+000,  0.35135543275E+007,  0.00000000000E+000,  0.84864646837E+002,  0.10092376922E+004,  0.21614102531E+004,  0.15579773614E-004,  0.11368766385E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39955107649E+000,  0.60044892351E+000,  0.00000000000E+000,  0.35135543275E+007,  0.00000000000E+000,  0.84864646837E+002,  0.10092376922E+004,  0.21614102531E+004,  0.15579773614E-004,  0.11368766385E-002,  0.10000000000E+001
"TIME [sec]  0.27054500E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39963478371E+000,  0.60036521629E+000,  0.00000000000E+000,  0.35140068196E+007,  0.00000000000E+000,  0.84879888174E+002,  0.10092386613E+004,  0.21614102923E+004,  0.15580049650E-004,  0.11368763640E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39954735092E+000,  0.60045264908E+000,  0.00000000000E+000,  0.35140068196E+007,  0.00000000000E+000,  0.84879888174E+002,  0.10092386613E+004,  0.21614102923E+004,  0.15580049650E-004,  0.11368763640E-002,  0.10000000000E+001
"TIME [sec]  0.27927200E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39963387276E+000,  0.60036612724E+000,  0.00000000000E+000,  0.35144593468E+007,  0.00000000000E+000,  0.84895130696E+002,  0.10092396303E+004,  0.21614103314E+004,  0.15580325708E-004,  0.11368760894E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39954362593E+000,  0.60045637407E+000,  0.00000000000E+000,  0.35144593468E+007,  0.00000000000E+000,  0.84895130696E+002,  0.10092396303E+004,  0.21614103314E+004,  0.15580325708E-004,  0.11368760894E-002,  0.10000000000E+001
"TIME [sec]  0.28800000E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39963296185E+000,  0.60036703815E+000,  0.00000000000E+000,  0.35149119610E+007,  0.00000000000E+000,  0.84910376148E+002,  0.10092405992E+004,  0.21614103705E+004,  0.15580601818E-004,  0.11368758148E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39953990110E+000,  0.60046009890E+000,  0.00000000000E+000,  0.35149119610E+007,  0.00000000000E+000,  0.84910376148E+002,  0.10092405992E+004,  0.21614103705E+004,  0.15580601818E-004,  0.11368758148E-002,  0.10000000000E+001
"TIME [sec]  0.29672700E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39963205118E+000,  0.60036794882E+000,  0.00000000000E+000,  0.35153645585E+007,  0.00000000000E+000,  0.84925621037E+002,  0.10092415680E+004,  0.21614104097E+004,  0.15580877918E-004,  0.11368755402E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39953617729E+000,  0.60046382271E+000,  0.00000000000E+000,  0.35153645585E+007,  0.00000000000E+000,  0.84925621037E+002,  0.10092415680E+004,  0.21614104097E+004,  0.15580877918E-004,  0.11368755402E-002,  0.10000000000E+001
"TIME [sec]  0.30545400E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39963114065E+000,  0.60036885935E+000,  0.00000000000E+000,  0.35158171911E+007,  0.00000000000E+000,  0.84940867110E+002,  0.10092425366E+004,  0.21614104488E+004,  0.15581154040E-004,  0.11368752655E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39953245407E+000,  0.60046754593E+000,  0.00000000000E+000,  0.35158171911E+007,  0.00000000000E+000,  0.84940867110E+002,  0.10092425366E+004,  0.21614104488E+004,  0.15581154040E-004,  0.11368752655E-002,  0.10000000000E+001
"TIME [sec]  0.31418100E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39963023026E+000,  0.60036976974E+000,  0.00000000000E+000,  0.35162698590E+007,  0.00000000000E+000,  0.84956114368E+002,  0.10092435051E+004,  0.21614104879E+004,  0.15581430183E-004,  0.11368749909E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39952873144E+000,  0.60047126856E+000,  0.00000000000E+000,  0.35162698590E+007,  0.00000000000E+000,  0.84956114368E+002,  0.10092435051E+004,  0.21614104879E+004,  0.15581430183E-004,  0.11368749909E-002,  0.10000000000E+001
"TIME [sec]  0.32290900E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39962931990E+000,  0.60037068010E+000,  0.00000000000E+000,  0.35167226138E+007,  0.00000000000E+000,  0.84971364556E+002,  0.10092444736E+004,  0.21614105271E+004,  0.15581706380E-004,  0.11368747162E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39952500897E+000,  0.60047499103E+000,  0.00000000000E+000,  0.35167226138E+007,  0.00000000000E+000,  0.84971364556E+002,  0.10092444736E+004,  0.21614105271E+004,  0.15581706380E-004,  0.11368747162E-002,  0.10000000000E+001
"TIME [sec]  0.33163600E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39962840979E+000,  0.60037159021E+000,  0.00000000000E+000,  0.35171753519E+007,  0.00000000000E+000,  0.84986614182E+002,  0.10092454418E+004,  0.21614105662E+004,  0.15581982566E-004,  0.11368744415E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39952128751E+000,  0.60047871249E+000,  0.00000000000E+000,  0.35171753519E+007,  0.00000000000E+000,  0.84986614182E+002,  0.10092454418E+004,  0.21614105662E+004,  0.15581982566E-004,  0.11368744415E-002,  0.10000000000E+001
"TIME [sec]  0.34036300E+06"
